"txid","refid","time","type","subtype","aclass","asset","wallet","amount","fee","balance"
"LQZ6SE-PQ3XZ-H6763W","QYYTW6A-UX6CGY-KEJQFV","2022-10-25 22:48:04","deposit","","currency","EUR.HOLD","spot / main",50.0000,2.1300,47.8700
"LKYW5F-3VU3Y-Z67LVL","TSPARL5-75VOE-VCQZJQ","2022-10-25 22:48:06","spend","","currency","EUR.HOLD","spot / main",-47.1600,0.7100,0.0000
"L3GF43-4NTCA-KMQLG3","TSPARL5-75VOE-VCQZJQ","2022-10-25 22:48:06","receive","","currency","BTC","spot / main",0.0023427600,0,0.0023427600
"L5EQKN-B5PIM-EDA23O","QYYHPK7-2TJSTO-WICP53","2022-10-25 22:50:02","deposit","","currency","EUR.HOLD","spot / main",50.0000,2.1300,47.8700
"LEQ3IA-3FH4R-A52KDW","TSJNBOD-BXJKN-TXZL4N","2022-10-25 22:50:03","spend","","currency","EUR.HOLD","spot / main",-47.1600,0.7100,0.0000
"LD6SCS-ES4XZ-N6XNXZ","TSJNBOD-BXJKN-TXZL4N","2022-10-25 22:50:03","receive","","currency","BTC","spot / main",0.0023415800,0,0.0046843400
"LVP5QD-KZHAM-LPDEPD","QYYYNHK-QTJ3U5-KQ5JLH","2022-10-26 16:36:26","deposit","","currency","EUR.HOLD","spot / main",200.0000,7.7500,192.2500
"LVD5GV-ZZLIT-TMNMYI","TSWKNKW-7VT2Z-54QQWG","2022-10-26 16:36:26","spend","","currency","EUR.HOLD","spot / main",-189.4100,2.8400,0.0000
"L4FKHN-TCQJX-3AGXRI","TSWKNKW-7VT2Z-54QQWG","2022-10-26 16:36:26","receive","","currency","BTC","spot / main",0.0091537700,0,0.0138381100
"LZB3HL-N5R5A-6LOEI6","AGB6NT4-HRP4IT-KAEER7","2022-10-29 10:46:40","withdrawal","","currency","BTC","spot / main",-0.0138200000,0.0000100000,0.0000081100
"LR7YQ2-XAXHG-P2RQ5U","QYYNHFP-HY7VGL-CVCH2X","2022-10-30 20:04:53","deposit","","currency","EUR.HOLD","spot / main",100.0000,4.0000,96.0000
"LKSQYG-7UHKA-MSS2P3","TSU44RC-STWGN-E3H7KQ","2022-10-30 20:04:53","spend","","currency","EUR.HOLD","spot / main",-94.5800,1.4200,0.0000
"L7D4BF-ODHQS-R77WTH","TSU44RC-STWGN-E3H7KQ","2022-10-30 20:04:53","receive","","currency","BTC","spot / main",0.0045621600,0,0.0045702700
"LBB6PR-UTUDF-I4FZLL","AGBOKIE-A25HIN-V3DNHD","2022-11-04 07:33:09","withdrawal","","currency","BTC","spot / main",-0.0045600000,0.0000100000,0.0000002700
"LC2U34-THWUM-73NDR5","Unknown","2022-11-11 00:08:22","reward","invitebonus","currency","BTC","spot / main",0.0005424097,0,0.0005426797
"L7EVWX-JASWE-VXTL4G","AGBH2VI-UQ5RBT-ZZY7MD","2022-11-11 11:50:33","withdrawal","","currency","BTC","spot / main",-0.0005300000,0.0000100000,0.0000026797
