"Transaction ID",Timestamp,"Transaction Type",In/Out,"Amount Fiat",Fiat,"Amount Asset",Asset,"Asset market price","Asset market price currency","Asset class","Product ID",Fee,"Fee asset",Spread,"Spread Currency","Tax Fiat"
F1eddd35d-1a21-6f1a-896b-f24fbf578dea,2023-04-17T17:37:53+02:00,deposit,incoming,1000.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1edddd37-7f70-69f0-634a-bc2da784ba49,2023-04-18T12:26:27+02:00,buy,outgoing,1000.00,EUR,0.03600652,BTC,27772.75,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1eddddc5-88e0-6f2e-bbf1-ee36074f095f,2023-04-18T13:29:56+02:00,withdrawal,outgoing,0,EUR,0.03594652,BTC,0.00,-,Cryptocurrency,1,0.00006000,BTC,-,-,-
F1edeb6aa-4b20-6dec-ae8b-b272a984f3f9,2023-05-05T19:31:18+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1edeb6ee-9150-603a-8319-86e5be1b1c06,2023-05-05T20:01:50+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1edf3463-9cf0-614a-b87a-2a54af2d6f90,2023-05-15T19:30:47+02:00,buy,outgoing,50.00,EUR,0.00194220,BTC,25744.00,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1edf34a7-b9a2-6254-b07b-76a7a626a8b7,2023-05-15T20:01:15+02:00,buy,outgoing,50.00,EUR,0.00194254,BTC,25739.50,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1edf42f6-5858-631a-9a16-320150d3538e,2023-05-16T23:19:52+02:00,withdrawal,outgoing,0,EUR,0.00372921,BTC,0.00,-,Cryptocurrency,1,0.00015525,BTC,-,-,-
F1ee03c6b-08e3-664e-a807-8ec795cbab52,2023-06-05T19:30:39+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee03cae-80b1-66f6-b310-6a846926308f,2023-06-05T20:00:50+02:00,deposit,incoming,50.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
F1ee0b892-9351-636e-98ab-c6acf259580b,2023-06-15T16:30:22+02:00,deposit,incoming,5.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
T1ee0ba24-a5e3-6304-b8b1-52368a474482,2023-06-15T19:30:16+02:00,buy,outgoing,50.00,EUR,0.00215094,BTC,23245.65,EUR,Cryptocurrency,1,-,-,-,-,0.00
T1ee0ba67-e24f-6926-bf37-da742f4ba35d,2023-06-15T20:00:21+02:00,buy,outgoing,50.00,EUR,0.00213864,BTC,23379.34,EUR,Cryptocurrency,1,-,-,-,-,0.00
C1ee0bb24-e548-6e76-bcb9-bac352d5434b,2023-06-15T21:24:54+02:00,withdrawal,outgoing,0,EUR,0.00420062,BTC,0.00,-,Cryptocurrency,1,0.00008913,BTC,-,-,-
F1ee0fdff-bba8-6094-bdb8-def070feaa0b,2023-06-21T05:01:57+02:00,deposit,incoming,100.00,EUR,-,EUR,-,-,Fiat,-,0.00000000,EUR,-,-,0.00
